LocationXYZ,BlockType,Command,CommandOptions,RoomName,FeatureType
-2222 60 -6,block_victim_1,,,,Victim
-2222 60 37,block_victim_1,,,,Victim
-2220 60 36,block_victim_1,,,,Victim
-2217 60 55,block_victim_1,,,,Victim
-2224 60 58,block_victim_1,,,,Victim
-2203 60 4,block_victim_1,,,,Victim
-2193 60 0,block_victim_1,,,,Victim
-2193 60 13,block_victim_1,,,,Victim
-2194 60 15,block_victim_1,,,,Victim
-2194 60 34,block_victim_1,,,,Victim
-2203 60 39,block_victim_1,,,,Victim
-2194 60 48,block_victim_1,,,,Victim
-2207 60 52,block_victim_1,,,,Victim
-2201 60 56,block_victim_1,,,,Victim
-2184 60 0,block_victim_1,,,,Victim
-2173 60 8,block_victim_1,,,,Victim
-2169 60 14,block_victim_1,,,,Victim
-2184 60 21,block_victim_1,,,,Victim
-2182 60 31,block_victim_1,,,,Victim
-2178 60 35,block_victim_1,,,,Victim
-2166 60 34,block_victim_1,,,,Victim
-2184 60 49,block_victim_1,,,,Victim
-2169 60 49,block_victim_1,,,,Victim
-2160 60 48,block_victim_1,,,,Victim
-2136 60 -1,block_victim_1,,,,Victim
-2154 60 12,block_victim_1,,,,Victim
-2140 60 9,block_victim_1,,,,Victim
-2124 60 8,block_victim_1,,,,Victim
-2154 60 26,block_victim_1,,,,Victim
-2136 60 26,block_victim_1,,,,Victim
-2130 60 20,block_victim_1,,,,Victim
-2148 60 32,block_victim_1,,,,Victim
-2140 60 40,block_victim_1,,,,Victim
-2130 60 44,block_victim_1,,,,Victim
-2144 60 53,block_victim_1,,,,Victim
-2112 60 -1,block_victim_1,,,,Victim
-2093 60 0,block_victim_1,,,,Victim
-2099 60 11,block_victim_1,,,,Victim
-2109 60 17,block_victim_1,,,,Victim
-2112 60 19,block_victim_1,,,,Victim
-2108 60 22,block_victim_1,,,,Victim
-2093 60 20,block_victim_1,,,,Victim
-2092 60 20,block_victim_1,,,,Victim
-2117 60 34,block_victim_1,,,,Victim
-2090 60 33,block_victim_1,,,,Victim
-2108 60 41,block_victim_1,,,,Victim
-2099 60 44,block_victim_1,,,,Victim
-2115 60 53,block_victim_1,,,,Victim
-2092 60 53,block_victim_1,,,,Victim
-2102 60 56,block_victim_1,,,,Victim
-2213 60 4,block_victim_2,,,,High Value Victim
-2197 60 39,block_victim_2,,,,High Value Victim
-2168 60 23,block_victim_2,,,,High Value Victim
-2131 60 41,block_victim_2,,,,High Value Victim
-2095 60 9,block_victim_2,,,,High Value Victim
-2221 60 -8,gravel,,,,Rubble
-2221 60 -7,gravel,,,,Rubble
-2221 61 -7,gravel,,,,Rubble
-2221 60 -6,gravel,,,,Rubble
-2221 61 -6,gravel,,,,Rubble
-2221 60 -5,gravel,,,,Rubble
-2222 60 -7,gravel,,,,Rubble
-2222 61 -7,gravel,,,,Rubble
-2222 61 -6,gravel,,,,Rubble
-2222 62 -6,gravel,,,,Rubble
-2222 60 -5,gravel,,,,Rubble
-2222 61 -5,gravel,,,,Rubble
-2222 60 -4,gravel,,,,Rubble
-2223 60 -6,gravel,,,,Rubble
-2223 61 -6,gravel,,,,Rubble
-2223 60 -5,gravel,,,,Rubble
-2223 61 -5,gravel,,,,Rubble
-2216 60 12,gravel,,,,Rubble
-2216 61 12,gravel,,,,Rubble
-2215 60 11,gravel,,,,Rubble
-2215 61 11,gravel,,,,Rubble
-2215 62 11,gravel,,,,Rubble
-2215 60 12,gravel,,,,Rubble
-2215 61 12,gravel,,,,Rubble
-2215 62 12,gravel,,,,Rubble
-2215 60 13,gravel,,,,Rubble
-2215 61 13,gravel,,,,Rubble
-2215 62 13,gravel,,,,Rubble
-2215 60 14,gravel,,,,Rubble
-2215 61 14,gravel,,,,Rubble
-2214 60 12,gravel,,,,Rubble
-2214 61 12,gravel,,,,Rubble
-2214 60 13,gravel,,,,Rubble
-2214 61 13,gravel,,,,Rubble
-2219 60 35,gravel,,,,Rubble
-2219 61 35,gravel,,,,Rubble
-2219 60 36,gravel,,,,Rubble
-2219 61 36,gravel,,,,Rubble
-2219 62 36,gravel,,,,Rubble
-2219 60 37,gravel,,,,Rubble
-2219 61 37,gravel,,,,Rubble
-2219 62 37,gravel,,,,Rubble
